common_name,sci_name,is_resident,ebird_data
American Barn Owl,Tyto furcata,NA,no
American Herring Gull,Larus smithsonianus,NA,no
Ancient Murrelet,Synthliboramphus antiquus,NA,no
Black-footed Albatross,Phoebastria nigripes,NA,no
Black-legged Kittiwake,Rissa tridactyla,NA,no
Boreal Owl,Aegolius funereus,NA,no
Buller's Shearwater,Ardenna bulleri,NA,no
Cassin's Auklet,Ptychoramphus aleuticus,NA,no
Common Murre,Uria aalge,NA,no
Curlew Sandpiper,Calidris ferruginea,NA,no
Eurasian Wigeon,Mareca penelope,NA,no
Flesh-footed Shearwater,Ardenna carneipes,NA,no
Fork-tailed Storm-Petrel,Hydrobates furcatus,NA,no
Great Gray Owl,Strix nebulosa,NA,no
Gyrfalcon,Falco rusticolus,NA,no
Horned Puffin,Fratercula corniculata,NA,no
Hudsonian Whimbrel,Numenius phaeopus,NA,no
Laysan Albatross,Phoebastria immutabilis,NA,no
Leach's Storm-Petrel,Hydrobates leucorhous,NA,no
Little Stint,Calidris minuta,NA,no
Long-tailed Jaeger,Stercorarius longicaudus,NA,no
Northern Wheatear,Oenanthe oenanthe,NA,no
Pacific Golden-Plover,Pluvialis fulva,NA,no
Parakeet Auklet,Aethia psittacula,NA,no
Pink-footed Shearwater,Ardenna creatopus,NA,no
Red Phalarope,Phalaropus fulicarius,NA,no
Red-necked Phalarope,Phalaropus lobatus,NA,no
Red-necked Stint,Calidris ruficollis,NA,no
Redpoll,Acanthis flammea,NA,no
Rhinoceros Auklet,Cerorhinca monocerata,NA,no
Rock Ptarmigan,Lagopus muta,NA,no
Ruff,Calidris pugnax,NA,no
Sharp-tailed Sandpiper,Calidris acuminata,NA,no
Short-tailed Albatross,Phoebastria albatrus,NA,no
Short-tailed Shearwater,Ardenna tenuirostris,NA,no
Smith's Longspur,Calcarius pictus,NA,no
Sooty Shearwater,Ardenna grisea,NA,no
South Polar Skua,Stercorarius maccormicki,NA,no
Thick-billed Murre,Uria lomvia,NA,no
Tufted Puffin,Fratercula cirrhata,NA,no
Western Cattle-Egret,Ardea ibis,NA,no
White-rumped Sandpiper,Calidris fuscicollis,NA,no
White-tailed Ptarmigan,Lagopus leucura,NA,no
Yellow Rail,Coturnicops noveboracensis,NA,no
Yellow-billed Loon,Gavia adamsii,NA,no
